Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
440;17;23;Niko Gießelmann;Deutschland;15;1;1;
441;17;3;André Hoffmann;Deutschland;14;0;1;
442;17;4;Kasim Nuhu;Ghana;11;1;0;
443;17;39;Jean Zimmer;Deutschland;11;0;0;
444;17;29;Markus Suttner;Österreich;6;0;0;
445;17;32;Robin Bormuth;Deutschland;3;0;0;
446;17;26;Diego Contento;Deutschland;0;0;0;
447;17;35;Michel Stöcker;Deutschland;0;0;0;
448;17;15;Erik Thommy;Deutschland;18;2;5;
449;17;6;Alfredo Morales;Unbekannt;13;1;1;
450;17;7;Oliver Fink;Deutschland;11;0;2;
451;17;34;Lewis Baker;England;8;0;0;
452;17;31;Marcel Sobottka;Deutschland;8;0;0;
453;17;18;Thomas Pledl;Deutschland;3;0;0;
454;17;22;Kevin Stöger;Österreich;1;0;0;
455;17;36;Shinta Karl Appelkamp;Deutschland;0;0;0;
456;17;40;Johannes Bühler;Deutschland;0;0;0;
457;17;28;Rouwen Hennings;Deutschland;17;11;0;
458;17;9;Dawid Kownacki;Polen;16;0;0;
459;17;11;Kenan Karaman;Türkei;8;1;1;
460;17;37;Bernard Tekpetey;Ghana;8;0;0;
461;17;27;Nana Opoku Ampomah;Ghana;7;0;0;
462;17;;Steven Skrzybski;Deutschland;1;0;0;
463;17;14;Kelvin Ofori;Ghana;0;0;0;
464;17;;Friedhelm Funkel;Deutschland;0;0;0;
465;18;17;Leopold Zingerle;Deutschland;12;0;0;
466;18;21;Jannik Huth;Deutschland;6;0;0;
467;18;1;Michael Ratajczak;Deutschland;0;0;0;
468;18;15;Luca Kilian;Deutschland;13;0;0;
469;18;25;Mohamed Dräger;Tunesien;11;0;2;
470;18;20;Laurent Jans;Luxemburg;9;0;1;
471;18;2;Uwe Hünemeier;Deutschland;7;0;0;
472;18;5;Christian Strohdiek;Deutschland;5;0;0;
473;18;28;Justin Reineke;Deutschland;0;0;0;
474;18;4;Jan-Luca Rumpf;Deutschland;0;0;0;
475;18;22;Christopher Antwi-Adjej;Deutschland;18;0;1;
476;18;8;Klaus Gjasula;Albanien;17;1;1;
477;18;39;Sebastian Vasiliadis;Griechenland;17;0;2;
478;18;9;Kai Pröger;Deutschland;16;2;4;
479;18;38;Gerrit Holtmann;Deutschland;13;1;0;
480;18;19;Abdelhamid Sabiri;Deutschland;11;2;0;
481;18;7;Marlon Ritter;Deutschland;3;0;0;
482;18;12;Dominik Bilogrevic;Kroatien;0;0;0;
483;18;16;Johannes Dörfler;Deutschland;0;0;0;
484;18;6;Samúel Kári Friðjónsson;Island;0;0;0;
485;18;33;Marcel Hilßner;Deutschland;0;0;0;
486;18;24;Rifet Kapic;Bosnien-Herzegowina;0;0;0;
487;18;14;Adrian Oeynhausen;Deutschland;0;0;0;
